qn,ans
i have too much work to do . skip the treatment .,we re not skipping this treatment .
robert,it s not true .
really ?,truly .
what ?,what night is it ?
bye dad .,ah . . . jennifer i need you to watch kevin . jen ?
we got to go back . we got to go back for wes .,forget wes .
it works .,it worked when you were in sixth grade .
no just some crazy fucker . cut half his ear off .,where .
it s going .,legs giving you trouble ?
oh oh miss flaemmchen . it s you,quick something awful awful has happened . go go at once mr . preysing
of course it hurts . what does it look like ?,i thought maybe he was pretending .
no thanks .,just tryin to be helpful .
no thanks .,well i do .
about two hundred and fifty miles .,how long do you think that ll take ?
you okay ?,great .
i told you not to bring the other one .,he wouldn t leave her .
i have no idea how to spit this out .,hon did you get expelled ?
how many buildings does she have to burn ? she belongs here !,that s not how she feels . she may never feel it .
to tear down the walls of jericho .,what !
josie you have totally transitioned .,transitioned ?
you re welcome grace .,you re not from around here are you ?
what time ?,i dunno . . .
dynamite .,so ?
jesus . well i do too sometimes . . .,no you don t .
for about one year .,how would you describe your sex life with miss lawson ?
no i think . .,a pond or
you sure talk like a girl who s been married .,sam !
yeah i ll go .,ok . let s see what happens .
you re not ?,not what ?
oh dear . i u have u made you nervous .,i m fine . i d just rather keep it on .
where s craig ?,he s inside the house ?
. . .and i think i know why .,why ?
no .,oh .
. . . is over .,. . . is over .
you sick ?,a little i think . . . darlin ?
you want me to walk a straight line ?,i want you . . . to bend over .
can we talk about this when i get back ?,yes . . . jeffrey .
okay .,i treated you better .
nothing s wrong .,oh . you coming by tonight ?
ask them to wait a little longer . for the twins .,get on the truck tatiana .
you lying son of a bitch . . .,what are you talking about ? we didn t kill her . . .
you ve got to stop her .,what can i do ?
you want me to take you home i ll take you home .,maybe that would be a good idea .
good for you man . he s being smart .,she s really special guys .
you just stay put . you need rest .,you don t get it he s after me . . .
always wanting to have fun that s you in a nutshell .,no this is me in a nutshell .
kit i left that money for you days ago .,yeah . i just got it .
you look good man .,cool . see you later .
eddie what s in that case ?,haven t you opened it ?
well enough about the king . how about you ?,how bout me what ?
do you wish to be baptized ?,i do wish to be baptized .
you can sing the song .,you know what you are never satisfied .
you think he s bluffing ?,no .
well now that is just too bad ! curiosity killed the cat .,yeah but satisfaction brought him back . can i ?
making hutch david soul ?,right . the blond guy .
let me be the judge of that madam .,yes . well . she s upstairs .
i see the world .,is it night or day erik ?
who was it answered the phone ?,none of your business .
my name s john klute .,you said that .
right ?,yeah . . .
good morning !,are you afraid ?
. . .and she s with someone else .,the poor thing . i ll make some coffee .
yes . but,put what ? goddamn it tell me .
i m just laying on my bed .,where are you ?
sort of ?,let s just say i . . .eh . . .i m involved .
would you care for a beverage ? tea ?,i m fine sir .
it s what i do . it s my job .,why ? your mother not breast feed you or something ?
emmett ! am i glad to see you !,howdy jake . what s going on here ?
ah but we re asking about you .,i m noc . was . u now u disavowed .
the plane crash and your journey here sound most incredible .,you should have been there . . .
and now fair woman i have you in my power .,i m not afraid of you . you haven t got a moustache !
there what ? i didn t see anything .,back it up rewind whatever you call it .
please ! you re being foolish !,there s no room ! and the air is lovely .
i m very good at research . i ll help you .,no thanks .
nice work norman .,whatever i can do to help .
they d be here if they could honey . i know they would .,they re dead .
what the hell are you doing,now i have jurisdiction ! i said get your weapons .
i m forty six . do you like to go up or down ?,what ?
please forgive me for keeping you waiting .,apology accepted .
a jockey ? you mean like,horses right . vernon something . . . hardapple .
what a surprise .,take as much room as you want
well . . . what is it ?,sir . you are going to give me a warning sir !
. . .i m going to kiss you .,mathilda stop please !
do you want me to get someone ?,no . no . it s okay . i m okay .
we re doing this for ma .,maybe it started out that way . but now . . .
every week,i m dying .
i have to pass al . and it s not an age thing,no ! do they show you having sex ?
how do you know that ?,i don t know i just feel it .
under the table !,the best table in the house .
it s all so complicated .,it s incredibly simple .
i know . funerals .,yes .
thanks very much . that was very nice of you .,well i wouldn t want to be
get the hell out of here . !,now ann . . .
why ?,i don t know .
i m not lying .,you know that no one likes a liar right ?
no . is he sick ?,he s going to wish he was dead .
what about now ?,it s over . i talked to her this morning .
there are monsters . . . . . .in the gelatin . . .,oh man
not really .,why her ?
you don t know where you re going ?,no . just the cross streets .
it gives me headaches .,but you are taking it ?
it s okay by me peanut .,well nothin personal but i ain t sure it s okay by me .
my butt s bothering me !,you should kick your butt s ass . huh huh huh .
and that is why i must go .,luke i will not lose you to the emperor as i lost vader .
what did you say ?,dad said it first .
excellent .,your usual table sir ?
don t you know you can t hump the bogart .,eat lead coppers .
you can t hold it by yourself !,ellie get the gun ! try to reach the gun !
no no no . we know all that . what happened with you ?,i married a car salesman .
scotland yard interpol every dutch authority . i can make them go away .,oh bloody hell . you re a spy .
you think so ?,yeah . . .and you re the prettier thing here .
yes .,well so glad you decided to come .
why not ?,shut up . i m not listening .
how a girl get like that ?,like i told you .
okay . goodbye .,goodbye .
this is incredible i it must be some sort of a joke .,i m very very serious .
but why am i so infatuated with you ?,hurry up now or it ll begin to get hot outside . . .
no . whoever took the rest took it before the exchange .,who gave the bags to ramos ?
intimate ? !,yes . intimate . they had privacy . everybody else was dead .
hi there .,you remember me ?
objection your honor !,grounds ?
how ?,i dunno . might be a glitch .
what colour is your car ? what colour is your car ?,b black . . .
don t worry honey you ll find something .,i was offered that job as a waitress .
i was gonna . . .,thanks a lot lloyd .
what s this ?,it s a scene . memorize it .
you should write something about this .,about what ?
what the hell is going on ? !,i wish i knew .
who s this fuck ?,he s a friend . from the neighborhood . we were just talking .
well you know maybe something else until this whole puppet thing turns around .,the great mantini doesn t need a day job .
so what do you think can i crash at your place tonight ?,what is it with this guy ?
ambulance .,we re just gonna take some blood here .
sometimes when i m lonely .,. . .yeah . . . .well you have me now .
this be it ?,y all take american express ?
you swore pearl !,john ! don t !
